user ID,item ID,timestamp
0,42436,1392249600
0,52169,1392249600
1,35263,1401408000
1,17513,1401408000
2,36865,1391990400
2,9856,1391990400
2,11577,1373500800
2,33111,1373500800
2,16413,1373500800
3,31012,1403481600
3,50910,1403481600
4,4780,1402963200
4,54323,1402963200
5,40368,1402876800
5,10366,1402876800
6,11007,1402012800
6,2982,1402012800
7,35726,1401408000
7,45310,1401408000
8,20728,1399420800
8,15943,1399420800
9,15371,1398902400
9,3427,1398902400
10,33983,1398124800
10,27601,1398124800
10,8867,1398816000
10,10186,1398816000
10,45631,1398816000
10,38443,1398816000
10,41035,1398816000
10,52389,1398816000
10,52552,1398816000
10,47077,1398816000
11,47053,1396656000
11,6015,1396656000
12,7003,1396483200
12,664,1396483200
13,49436,1396396800
13,12694,1396396800
14,44934,1394841600
14,24308,1394841600
15,24115,1394409600
15,44430,1394409600
16,7855,1394064000
16,1446,1394064000
17,48525,1393891200
17,29664,1393891200
18,54324,1393804800
18,17201,1393804800
19,52124,1402012800
19,50910,1402012800
20,15176,1392336000
20,3750,1392336000
21,2843,1391904000
21,23309,1391904000
22,8186,1390521600
22,7806,1390521600
23,23167,1390521600
23,24950,1390521600
24,35564,1390089600
24,16323,1390089600
25,9397,1390003200
25,11921,1390003200
26,30206,1389657600
26,42909,1389657600
27,39020,1389571200
27,7910,1389571200
28,23142,1389052800
28,4050,1389052800
29,5020,1388707200
29,53162,1388707200
30,2009,1388620800
30,5120,1388620800
31,54133,1388620800
31,11418,1388620800
32,7439,1388448000
32,14737,1388448000
33,29406,1388102400
33,8240,1388102400
34,10186,1365120000
34,9729,1365120000
35,1742,1386201600
35,26902,1386201600
36,11424,1385942400
36,42750,1385942400
37,14821,1382486400
37,53894,1382486400
38,54496,1382140800
38,54497,1382140800
39,32737,1380585600
39,51355,1380585600
40,28323,1379808000
40,40106,1379808000
41,13946,1379030400
41,53524,1379030400
42,11214,1377043200
42,9095,1377043200
43,11921,1391644800
43,42180,1391644800
44,45823,1375660800
44,14530,1375660800
45,46408,1399248000
45,53162,1399248000
46,38979,1374278400
46,44437,1374278400
47,54498,1374105600
47,24331,1374105600
48,6644,1373500800
48,50126,1373500800
49,33576,1405987200
49,46506,1405987200
49,31698,1405987200
49,46506,1405987200
49,33576,1405987200
50,31521,1404604800
50,38579,1404604800
50,36511,1404604800
51,14212,1405468800
51,39585,1405468800
51,31109,1405468800
52,27936,1405123200
52,53205,1405123200
52,30418,1405123200
53,7860,1405036800
53,35606,1405036800
53,35606,1405036800
53,54325,1405036800
53,7860,1405036800
54,7873,1405036800
54,31623,1405036800
54,14041,1405036800
55,30679,1404864000
55,8367,1404864000
55,1907,1404864000
55,8367,1404864000
55,30679,1404864000
56,1742,1404777600
56,3354,1404777600
56,44162,1404777600
57,15266,1404518400
57,17513,1404518400
58,23738,1404432000
58,34318,1404432000
58,46256,1404432000
58,34318,1404432000
58,23738,1404432000
59,51649,1403827200
59,1717,1403827200
59,54499,1403827200
59,54499,1403827200
59,1717,1403827200
60,14302,1403827200
60,13889,1403827200
60,54500,1403827200
61,32900,1402790400
61,40076,1402790400
61,37640,1402790400
62,50676,1402617600
62,14843,1402617600
62,31528,1402617600
62,31528,1402617600
62,14843,1402617600
63,20021,1402272000
63,44804,1402272000
63,12599,1402272000
63,12599,1402272000
63,20021,1402272000
64,11951,1401667200
64,50822,1401667200
64,50822,1401667200
64,31383,1401667200
64,11951,1401667200
65,43248,1401148800
65,28409,1401148800
65,15104,1401148800
66,21228,1400025600
66,30044,1400025600
66,9098,1400025600
67,41934,1400025600
67,46882,1400025600
67,18722,1400025600
68,17182,1399680000
68,42436,1399680000
68,5729,1399680000
69,15347,1399420800
69,40022,1399420800
69,42705,1399420800
70,26088,1399248000
70,45368,1399248000
70,54501,1399248000
71,12180,1399075200
71,7415,1399075200
71,25525,1399075200
72,49284,1398729600
72,47244,1398729600
72,16103,1398729600
72,16103,1398729600
72,49284,1398729600
73,4570,1398556800
73,32484,1398556800
73,26910,1398556800
74,25019,1398297600
74,38886,1398297600
74,32310,1398297600
74,32310,1398297600
74,25019,1398297600
75,50149,1398124800
75,50676,1398124800
75,51926,1398124800
75,51926,1398124800
75,50149,1398124800
76,3192,1397692800
76,40879,1397692800
76,40879,1397692800
76,3192,1397692800
76,7890,1397692800
77,20309,1397174400
77,5487,1397174400
77,24786,1397174400
77,5487,1397174400
77,20309,1397174400
78,33436,1397088000
78,13752,1397088000
78,26973,1397088000
79,9531,1396915200
79,11750,1396915200
79,26343,1396915200
80,40930,1396828800
80,6752,1396828800
81,25236,1395705600
81,10037,1395705600
81,5644,1395705600
82,5372,1395532800
82,39386,1395532800
82,47400,1395532800
83,18468,1394582400
83,16413,1394582400
83,16413,1394582400
83,6697,1394582400
83,18468,1394582400
84,38804,1394064000
84,1000,1394064000
85,46121,1394064000
85,18353,1394064000
86,43995,1393632000
86,39379,1393632000
87,48734,1393545600
87,30675,1393545600
87,30675,1393545600
87,48734,1393545600
87,37174,1393545600
88,46702,1393372800
88,49974,1393372800
88,20453,1393372800
88,49974,1393372800
88,46702,1393372800
89,18444,1393286400
89,18114,1393286400
89,41984,1393286400
89,18114,1393286400
89,18444,1393286400
90,41684,1392768000
90,33699,1392768000
90,33699,1392768000
90,4649,1392768000
90,41684,1392768000
91,28519,1391990400
91,24311,1391990400
91,13704,1391990400
91,14059,1392854400
91,31867,1392854400
91,54337,1386288000
91,54336,1386288000
91,54335,1386288000
91,54336,1386288000
91,50549,1386288000
91,54337,1386288000
91,2152,1386115200
91,42633,1386115200
91,38816,1386115200
91,22942,1386115200
91,43731,1403654400
91,24990,1403654400
91,54699,1403654400
91,1556,1403654400
91,54700,1403654400
91,49056,1403654400
92,36016,1391990400
92,22054,1391990400
92,54502,1391990400
93,2434,1391644800
93,45007,1391644800
93,45007,1391644800
93,36347,1391644800
94,48350,1391558400
94,39083,1391558400
95,20538,1391472000
95,34466,1391472000
96,27296,1390867200
96,2308,1390867200
96,2308,1390867200
96,27296,1390867200
96,43931,1390867200
97,26278,1390780800
97,41388,1390780800
98,34803,1390608000
98,47841,1390608000
99,42180,1390521600
99,35672,1390521600
100,9020,1390003200
100,7730,1390003200
100,44804,1390003200
100,44804,1390003200
100,7730,1390003200
101,6790,1389657600
101,45674,1389657600
101,45674,1389657600
101,6790,1389657600
101,49794,1389657600
102,34343,1389657600
102,43834,1389657600
102,2220,1389657600
103,39970,1389398400
103,3148,1389398400
103,37293,1389398400
104,14627,1389139200
104,40879,1389139200
104,40879,1389139200
104,14627,1389139200
104,23088,1389139200
104,35836,1386288000
104,22583,1386288000
105,44585,1389052800
105,33431,1389052800
105,2302,1389052800
106,47889,1387497600
106,54674,1387497600
107,8867,1387152000
107,16781,1387152000
108,16634,1386892800
108,35927,1386892800
108,11569,1386892800
109,22509,1386547200
109,28314,1386547200
109,50988,1386547200
110,5827,1385251200
110,5658,1385251200
110,30065,1385251200
110,30065,1385251200
110,5658,1385251200
111,17513,1384992000
111,50614,1384992000
112,43541,1384992000
