userID,itemID
17601,5604
23990,13972
132098,5604
84806,33834
17103,19939
59522,23310
112868,17368
23990,36511
78379,4054
75983,15261
25635,19478
66522,30896
43873,53355
101055,16286
105892,29057
122192,36855
90290,5087
51253,35089
55661,22995
58331,31420
9308,50346
99600,49171
115043,49514
46941,44896
25521,35089
97603,6949
12644,32252
115043,5648
97603,33868
93340,43931
39551,16182
108050,12294
121412,25264
25656,49283
7406,43066
97603,23900
75102,10563
14492,42375
128420,31521
60895,31521
105892,31253
97603,9526
71273,43861
128420,38579
106783,22291
91383,50910
39135,47944
95820,50910
1644,50910
11603,52394
105892,35831
58331,17924
44938,33672
58331,27907
69391,5650
60895,36511
106198,3498
12444,15347
95820,53107
128761,37096
3422,19143
69086,49804
59645,26870
70317,24172
89195,36125
91401,2780
6060,15507
35452,28445
59140,29858
90485,45802
18520,25207
67329,44527
105892,48831
22537,32544
105985,39814
128420,13972
60895,13972
67329,28216
44399,15678
29448,15678
134597,23996
24343,15678
1644,46439
93804,41299
61322,38286
127281,12721
102701,25143
97603,23806
134778,29475
14324,7142
90485,20289
101055,34819
84424,3173
90485,5724
104415,12721
46566,19996
50306,46421
27671,19939
137138,19939
133994,3075
105892,5121
97967,15120
77961,5994
95820,38502
1644,14082
81481,52930
61188,19939
59140,20961
131589,19939
44911,44144
105892,31159
95786,53582
132984,38988
115043,38515
46566,30885
128015,41651
95820,22014
1644,17775
45086,30613
77882,5305
68334,11322
66067,5604
68334,15466
25917,31559
99431,50701
129635,30895
75893,21114
52481,26553
99431,39088
15775,3270
88683,31023
22668,26553
25110,44441
48415,19939
87992,51870
18821,42227
35347,19323
59018,19939
88759,19939
110949,15678
60098,49112
18983,16286
99529,16286
128826,16286
97573,27711
133297,35151
39810,6387
55542,29508
13490,330
103725,25751
1392,31521
136440,30807
126180,19808
126063,36511
94697,44870
10332,16822
99431,51659
21238,30260
102038,6642
34964,36511
137223,49962
140920,43996
136440,36695
36463,43996
112356,50658
68334,32622
37525,36125
124686,24782
136440,52394
128030,34173
122144,24610
12836,38579
134304,2377
46941,24610
115444,24610
90072,3917
50660,29872
136440,13656
1392,38579
10578,50910
126063,38579
122020,50910
34964,38579
40633,47440
74248,38420
55850,44334
133297,47400
132829,4766
105344,4677
41371,13972
126063,13972
3026,544
127307,43996
68334,2522
68334,7729
119660,24172
55542,17368
136440,37995
18667,27505
67301,23360
111195,51480
112525,23360
34275,39402
13490,44862
112481,20992
51815,51837
122342,20602
112525,16269
51536,20992
47982,25143
7813,28951
136346,30753
60176,45711
61283,11605
94111,34629
119811,22065
76744,15261
117782,15261
11312,17405
65799,17405
19876,9323
7813,27353
18667,47225
34128,19752
99346,37489
108785,24095
23480,15722
68334,14572
122225,31532
4621,10538
122225,45930
135907,25751
45493,51857
10962,5604
142403,35089
103601,48406
90684,15755
93220,35089
25917,31396
19807,15867
141475,34960
43571,32738
