user ID,session ID,timestamp
0,791,1405987200
1,232,1405036800
2,317,1404864000
3,498,1399939200
4,632,1399248000
5,827,1399075200
6,320,1398988800
7,308,1398988800
8,452,1397520000
9,396,1396569600
10,115,1392163200
11,219,1395619200
12,875,1395446400
13,887,1395014400
14,223,1393632000
15,19,1393804800
16,870,1390348800
17,618,1386547200
18,198,1404086400
19,210,1388707200
20,709,1388620800
21,397,1388448000
22,147,1388361600
23,502,1389657600
24,871,1387152000
25,116,1386892800
26,380,1385683200
27,145,1385337600
28,633,1378080000
29,367,1359158400
30,445,1382400000
31,133,1382140800
32,777,1380758400
33,279,1380672000
34,86,1380412800
35,296,1379548800
36,259,1379548800
37,262,1377734400
38,425,1377043200
39,654,1376006400
40,252,1376006400
41,658,1375488000
42,574,1373500800
43,59,1372723200
44,442,1405209600
45,118,1405123200
46,470,1404345600
47,837,1404345600
48,817,1404259200
49,143,1404259200
50,363,1404000000
51,524,1403049600
52,245,1402272000
53,169,1400803200
54,607,1400198400
55,872,1399852800
56,274,1399507200
57,184,1399161600
58,840,1398643200
59,824,1398470400
60,106,1398211200
61,759,1398124800
62,196,1397865600
63,203,1397779200
64,342,1397692800
65,559,1397520000
66,539,1397260800
67,495,1396483200
68,411,1396483200
69,744,1394582400
70,281,1394409600
71,44,1394236800
72,247,1394150400
73,107,1394150400
74,751,1393545600
75,656,1393545600
76,599,1393200000
77,410,1393027200
78,67,1392681600
79,327,1392336000
80,61,1392336000
81,861,1391817600
82,496,1391817600
83,250,1391126400
84,513,1390867200
85,565,1390780800
86,66,1390435200
87,375,1390176000
88,723,1389571200
89,63,1389139200
90,54,1388707200
91,859,1388620800
92,23,1388534400
93,867,1388448000
94,682,1388361600
95,349,1388102400
96,355,1386374400
97,111,1385856000
98,703,1385164800
99,438,1384819200
100,179,1384819200
101,12,1384473600
102,275,1384387200
103,57,1384387200
104,596,1383436800
105,427,1383264000
106,732,1382486400
107,685,1382486400
108,127,1382227200
109,484,1382054400
110,678,1382054400
111,834,1382054400
112,292,1381190400
113,75,1381190400
114,288,1380672000
115,122,1379808000
116,850,1379289600
117,640,1378771200
118,103,1378598400
119,34,1377648000
120,735,1376697600
121,187,1376611200
122,536,1376524800
123,697,1376352000
124,433,1376352000
125,428,1376092800
126,310,1375488000
127,383,1374019200
128,394,1373846400
129,244,1373328000
130,579,1373155200
131,575,1405296000
132,10,1405036800
133,563,1404777600
134,800,1404777600
135,710,1404691200
136,391,1404259200
137,215,1403654400
138,370,1403481600
139,234,1403222400
140,65,1403136000
141,650,1403136000
142,716,1402963200
143,884,1402617600
144,546,1402358400
145,182,1402358400
146,417,1402185600
147,725,1401926400
148,835,1401840000
149,271,1401753600
150,108,1401667200
151,26,1401494400
152,680,1401062400
153,120,1400803200
154,450,1400112000
155,186,1400112000
156,576,1399852800
157,112,1399248000
158,208,1399075200
159,760,1398816000
160,803,1398384000
161,129,1398124800
162,195,1398124800
163,454,1398038400
164,190,1397865600
165,808,1397174400
166,746,1397088000
167,131,1397088000
168,227,1396828800
169,749,1396742400
170,175,1396569600
171,801,1395532800
172,80,1395532800
173,273,1395446400
174,638,1393804800
175,702,1393632000
176,212,1393545600
177,158,1393113600
178,305,1393113600
179,742,1393027200
180,226,1392940800
181,630,1392768000
182,446,1392768000
183,508,1392595200
184,701,1392595200
185,472,1392508800
186,180,1392163200
187,541,1391385600
188,585,1391212800
189,686,1390780800
190,589,1390780800
191,64,1390521600
192,530,1390176000
193,726,1390176000
194,405,1389830400
195,89,1389744000
196,419,1389657600
197,85,1389571200
198,154,1389312000
199,882,1388707200
200,392,1388534400
201,874,1388534400
202,401,1388534400
203,302,1388448000
204,306,1387843200
205,295,1387584000
206,763,1387497600
207,842,1386979200
208,487,1386633600
209,695,1386633600
210,261,1386288000
211,357,1386201600
212,878,1385856000
213,880,1385424000
214,527,1384905600
215,699,1384819200
216,228,1384300800
217,277,1384041600
218,750,1383696000
219,568,1383609600
220,37,1382745600
221,606,1381449600
222,762,1381449600
223,56,1380844800
224,635,1380672000
225,552,1380672000
226,60,1380240000
227,337,1380153600
228,696,1379980800
229,655,1379894400
230,779,1379635200
231,298,1379462400
232,561,1379376000
233,768,1379376000
234,694,1377475200
235,98,1377388800
236,197,1377129600
237,18,1376006400
238,665,1375920000
239,475,1375315200
240,820,1373760000
241,409,1373587200
242,567,1373328000
243,532,1373241600
244,448,1372723200
245,748,1406073600
246,657,1405555200
247,767,1405468800
248,294,1405468800
249,368,1405382400
250,24,1405296000
251,371,1405036800
252,642,1404691200
253,161,1404691200
254,659,1404691200
255,418,1404604800
256,249,1404432000
257,781,1404345600
258,669,1404345600
259,891,1404086400
260,430,1403568000
261,730,1403568000
262,782,1403222400
263,773,1402358400
264,211,1401926400
265,573,1401926400
266,491,1401926400
267,727,1401235200
268,46,1401148800
269,731,1400976000
270,819,1400716800
271,881,1400457600
272,71,1399248000
273,290,1398988800
274,652,1398902400
275,321,1398816000
276,637,1398729600
277,408,1398556800
278,466,1398297600
279,617,1398038400
280,634,1397606400
281,329,1397606400
282,7,1397606400
283,631,1397606400
284,738,1397001600
285,439,1396051200
286,883,1395878400
287,796,1395273600
288,778,1395014400
289,136,1394668800
290,153,1394496000
291,278,1393977600
292,376,1393977600
293,431,1393891200
294,868,1393804800
295,676,1393545600
296,740,1393027200
297,720,1392940800
298,287,1392681600
299,569,1392681600
300,651,1392422400
301,142,1392249600
302,511,1392249600
303,356,1392163200
304,869,1391040000
305,825,1390953600
306,432,1390867200
307,235,1390521600
308,516,1390348800
309,422,1390176000
310,270,1390089600
311,591,1389571200
312,464,1389484800
313,15,1389484800
314,728,1389312000
315,499,1389225600
316,754,1388707200
317,335,1388361600
318,6,1388188800
319,216,1388016000
320,84,1387756800
321,755,1387584000
322,104,1387497600
323,233,1387238400
324,268,1386979200
325,100,1386979200
326,285,1386806400
327,183,1386288000
328,73,1386201600
329,737,1384732800
330,82,1384560000
331,49,1384473600
332,629,1384387200
333,338,1384214400
334,557,1383782400
335,201,1382745600
336,314,1382572800
337,519,1382313600
338,688,1381795200
339,88,1381795200
340,675,1381536000
341,373,1381449600
342,241,1381276800
343,692,1380412800
344,449,1380326400
345,468,1380067200
346,343,1379808000
347,269,1379376000
348,2,1378771200
349,488,1378425600
350,138,1378166400
351,50,1377734400
352,739,1377648000
353,592,1376870400
354,348,1376697600
355,670,1376092800
356,873,1375920000
357,795,1375747200
358,583,1375660800
359,587,1374624000
360,96,1374364800
361,718,1374192000
362,577,1374192000
363,598,1374019200
364,251,1373846400
365,482,1373673600
366,45,1405296000
367,545,1405209600
368,765,1405036800
369,205,1404950400
370,594,1404777600
371,32,1404691200
372,243,1404604800
373,248,1404345600
374,852,1404259200
375,486,1403913600
376,889,1403827200
377,673,1403654400
378,549,1403136000
379,330,1402963200
380,684,1402531200
381,130,1402531200
161,181,1402185600
382,162,1402185600
383,799,1402185600
384,200,1401235200
385,469,1401235200
386,627,1400803200
387,382,1400716800
388,622,1400716800
389,846,1400112000
390,313,1400025600
391,858,1398556800
392,341,1398124800
393,610,1397865600
394,783,1397520000
395,711,1397088000
396,813,1397088000
397,647,1396828800
398,178,1396828800
399,528,1396569600
400,674,1396569600
401,853,1396396800
402,412,1396224000
403,220,1395705600
404,556,1395446400
405,636,1393804800
406,643,1393718400
407,462,1393200000
408,562,1392940800
409,339,1392681600
410,668,1392595200
411,501,1392508800
412,381,1392508800
413,451,1392249600
414,784,1392249600
